"Region","YOR","G","BLUP"
"Central Great Plains",2009,"WB-STOUT",3.25423236236267
"Central Great Plains",2017,"WB4269",3.88107307944245
"Central Great Plains",2015,"WB4303",3.67064533906275
"Central Great Plains",2020,"WB4401",3.76952855820128
"Central Great Plains",2018,"WB4418",3.64589423129077
"Central Great Plains",2012,"WB4458",3.57633819148727
"Central Great Plains",2015,"WB4462",3.67123268357367
"Central Great Plains",2017,"WB4515",3.73155821856145
"Central Great Plains",2018,"WB4595",3.91310465288057
"Central Great Plains",2018,"WB4699",3.90840327790154
"Central Great Plains",2018,"WB4721",3.68993501979392
"Central Great Plains",2019,"WB4792",3.88050116775397
"Central Great Plains",1998,"WESLEY",3.53621306263979
"Central Great Plains",2018,"WHISTLER",3.88483645272472
"Central Great Plains",2007,"WINTERHAWK",3.68114125261038
"Central Great Plains",1991,"YUMA",3.36015442430638
"Central Great Plains",1997,"YUMAR",3.26720473746991
"Central Great Plains",2016,"ZENDA",3.70366803060438
"Australia",1973,"Condor",3.59946514470856
"Australia",1994,"Frame",3.64634622921064
"Australia",1960,"Gamenya",3.59815984563138
"Australia",2007,"Gladius",3.77227064812031
"Australia",1969,"Halberd",3.59573687724716
"Australia",1958,"Heron",3.5789613284891
"Australia",1989,"Janz",3.67359316891683
"Australia",1997,"Krichauff",3.73811895250814
"Australia",1985,"Machete",3.68864787171033
"Australia",1984,"Spear",3.66684927348338
"Australia",1978,"Warigal",3.62980499618533
